title,body,labels,milestone
"[Core Engine] Task 1.1 — Define Evidence Bundle Schema","Description:
Create a formal schema for evidence bundles, specifying critic outputs, metadata, input snapshots, and internal version IDs.

Rationale:
Evidence bundles are the atomic unit of reasoning across critics. A strict schema ensures consistency and safe aggregation.

Functional Requirements:
- Create `schemas/evidence_bundle.json`
- Define critic output fields
- Define justification field
- Define metadata block (timestamps, critic name, config version)
- Define input snapshot section
- Add version tag

Acceptance Criteria:
- JSON schema validates a set of test bundles
- Validation errors are descriptive
- Downstream aggregator can parse the schema

Definition of Done:
Schema file created, validated, documented.","core-engine,architecture,priority:high","V7-Core"
"[Core Engine] Task 1.2 — Implement Evidence Normalizer","Description:
Implement a normalizer that converts raw critic outputs into the unified evidence bundle schema.

Rationale:
Critic outputs vary; normalization guarantees structure and reduces downstream error cases.

Functional Requirements:
- Create `core/evidence_normalizer.py`
- Map critic raw output → schema format
- Auto-fill missing fields
- Attach metadata from config

Acceptance Criteria:
- All critic outputs normalize without errors
- Missing fields are handled gracefully
- Normalized bundle passes schema validation","core-engine,architecture,priority:high","V7-Core"
"[Core Engine] Task 1.3 — Add Metadata Enrichment","Description:
Add system metadata (timestamps, latency, config props) to each evidence bundle.

Rationale:
Metadata is essential for observability, policy checks, audit trails.

Functional Requirements:
- Add timestamp generation
- Add critic execution timing
- Add config version
- Add aggregator run ID

Acceptance Criteria:
- Metadata appears in every bundle
- Timing fields are non-zero
- Bundle still validates against schema","core-engine,observability,priority:medium","V7-Core"
"[Core Engine] Task 1.4 — Implement Serialization/Deserialization","Description:
Provide strict methods for converting evidence bundles to/from JSON.

Requirements:
- Implement `to_json()` and `from_json()`
- Ensure strict validation on load
- Provide error messages on structural mismatch","core-engine,priority:medium","V7-Core"
"[Core Engine] Task 1.5 — Write EvidenceBundle Unit Tests","Description:
Write test suite validating normalization, serialization, and schema compliance.

Requirements:
- Positive tests for valid bundles
- Negative tests for invalid/missing fields
- Ensure test coverage for normalization edge-cases","testing,core-engine,priority:medium","V7-Core"
"[Core Engine] Task 2.1 — Add Critic Weighting","Description:
Add numeric weighting to critic outputs to influence aggregation.

Requirements:
- Add weighting field to critic config
- Aggregator must incorporate weighting
- Create tests verifying new weighting logic","core-engine,critic-engine,priority:high","V7-Core"
"[Core Engine] Task 2.2 — Implement Conflict Detection","Description:
Detect contradictory critic outputs and return structured conflict objects.

Examples:
- Two critics yield opposing classifications
- Confidence levels diverge sharply

Acceptance Criteria:
- Conflict objects exposed to policy engine
- Logged in observability","core-engine,critic-engine,priority:high","V7-Core"
"[Core Engine] Task 2.3 — Multi-Critic Justification Synthesis","Description:
Aggregate all critic justifications into a unified explanation.

Requirements:
- Surface critic-level reasoning
- Merge into a composite justification
- Highlight agreement vs disagreement","core-engine,explainability,priority:high","V7-XAI"
"[Core Engine] Task 2.4 — Aggregator Test Suite","Description:
Comprehensive tests for aggregator behavior.

Coverage:
- Weighted aggregation
- Conflict detection
- Fallback scenarios
- Missing critic output","testing,core-engine,priority:high","V7-Core"
"[Core Engine] Task 3.1 — Implement Precedent Storage Backend","Description:
Add a precedent store using SQLite/Postgres.

Requirements:
- `precedents` table
- Store: query, evidence bundle, decision
- Indexing for efficient lookup","precedent-engine,storage,priority:high","V7-Core"
